ID,Fecha,Producto,Categoría,Cliente,Cantidad,Precio Unitario,Método de Pago,Sucursal
1,2024-03-20,Mouse,Periféricos,Juan,5,576.37,Efectivo,Sucursal Sur
2,2024-04-24,Laptop,Periféricos,Lucía,4,666.42,Tarjeta,Sucursal Norte
3,2024-01-07,Laptop,Periféricos,Carlos,4,755.34,Tarjeta,Sucursal Norte
4,2024-03-06,Monitor,Electrónica,Pedro,3,105.26,Efectivo,Sucursal Norte
5,2024-02-26,Impresora,Electrónica,Ana,4,866.54,Plin,Sucursal Sur
6,2024-06-17,Teclado,Electrónica,Lucía,5,399.49,Tarjeta,Sucursal Norte
7,2024-03-10,Monitor,Periféricos,Lucía,1,348.28,Plin,Sucursal Sur
8,2024-04-11,Impresora,Accesorios,Juan,5,730.53,Efectivo,Sucursal Norte
9,2024-05-04,Impresora,Accesorios,Lucía,3,983.14,Efectivo,Sucursal Norte
10,2024-05-14,Monitor,Periféricos,Pedro,3,889.07,Yape,Sucursal Norte
11,2024-03-04,Mouse,Periféricos,Juan,4,573.33,Yape,Sucursal Norte
12,2024-04-04,Monitor,Accesorios,Pedro,4,543.71,Tarjeta,Sucursal Norte
13,2024-05-22,Impresora,Electrónica,Ana,2,375.36,Efectivo,Sucursal Sur
14,2024-06-11,Teclado,Periféricos,Lucía,2,278.18,Tarjeta,Sucursal Sur
15,2024-03-03,Laptop,Accesorios,Pedro,1,681.48,Plin,Sucursal Norte
16,2024-01-12,Laptop,Accesorios,Juan,4,690.73,Plin,Sucursal Norte
17,2024-02-07,Teclado,Periféricos,Pedro,5,614.01,Tarjeta,Sucursal Sur
18,2024-02-05,Monitor,Electrónica,Pedro,2,249.25,Efectivo,Sucursal Sur
19,2024-04-06,Mouse,Accesorios,Carlos,2,573.28,Yape,Sucursal Sur
20,2024-05-15,Impresora,Periféricos,Carlos,3,284.82,Yape,Sucursal Norte
21,2024-06-14,Impresora,Accesorios,Carlos,3,599.52,Tarjeta,Sucursal Sur
22,2024-01-22,Laptop,Periféricos,Lucía,3,542.7,Efectivo,Sucursal Norte
23,2024-05-17,Impresora,Electrónica,Ana,4,349.24,Plin,Sucursal Norte
24,2024-01-22,Laptop,Accesorios,Pedro,5,656.41,Tarjeta,Sucursal Sur
25,2024-03-13,Mouse,Periféricos,Juan,3,714.09,Plin,Sucursal Norte
26,2024-01-24,Laptop,Electrónica,Pedro,1,309.03,Yape,Sucursal Sur
27,2024-01-26,Laptop,Accesorios,Juan,3,534.65,Yape,Sucursal Sur
28,2024-04-03,Mouse,Electrónica,Pedro,3,271.59,Tarjeta,Sucursal Sur
29,2024-02-12,Teclado,Periféricos,Carlos,4,342.19,Plin,Sucursal Norte
30,2024-01-09,Laptop,Periféricos,Juan,1,513.68,Yape,Sucursal Sur
31,2024-06-06,Impresora,Periféricos,Ana,1,211.87,Tarjeta,Sucursal Norte
32,2024-03-25,Monitor,Electrónica,Ana,5,451.34,Efectivo,Sucursal Norte
33,2024-03-25,Teclado,Periféricos,Juan,4,451.48,Efectivo,Sucursal Norte
34,2024-01-02,Teclado,Periféricos,Carlos,4,395.28,Plin,Sucursal Sur
35,2024-04-12,Monitor,Periféricos,Carlos,1,446.79,Efectivo,Sucursal Norte
36,2024-04-21,Mouse,Electrónica,Pedro,4,224.95,Tarjeta,Sucursal Norte
37,2024-02-11,Mouse,Accesorios,Pedro,5,337.65,Plin,Sucursal Sur
38,2024-05-04,Teclado,Electrónica,Carlos,4,852.82,Plin,Sucursal Norte
39,2024-02-07,Teclado,Periféricos,Pedro,2,474.48,Plin,Sucursal Sur
40,2024-03-23,Laptop,Electrónica,Juan,3,956.58,Yape,Sucursal Norte
41,2024-02-20,Teclado,Periféricos,Ana,2,930.69,Yape,Sucursal Norte
42,2024-04-13,Mouse,Accesorios,Pedro,5,983.81,Tarjeta,Sucursal Sur
43,2024-03-01,Teclado,Periféricos,Carlos,3,729.57,Tarjeta,Sucursal Sur
44,2024-06-26,Laptop,Periféricos,Ana,1,737.03,Efectivo,Sucursal Sur
45,2024-06-03,Mouse,Periféricos,Ana,5,108.45,Efectivo,Sucursal Sur
46,2024-05-21,Impresora,Electrónica,Juan,3,534.26,Tarjeta,Sucursal Norte
47,2024-02-28,Monitor,Periféricos,Ana,1,940.52,Yape,Sucursal Norte
48,2024-02-16,Mouse,Periféricos,Pedro,3,730.32,Plin,Sucursal Norte
49,2024-02-08,Mouse,Accesorios,Juan,4,796.44,Plin,Sucursal Sur
50,2024-01-02,Monitor,Periféricos,Ana,3,229.55,Yape,Sucursal Norte
51,2024-02-16,Mouse,Periféricos,Juan,5,973.79,Plin,Sucursal Norte
52,2024-05-19,Monitor,Periféricos,Juan,5,502.05,Plin,Sucursal Norte
53,2024-01-03,Mouse,Electrónica,Lucía,3,178.66,Efectivo,Sucursal Norte
54,2024-01-05,Monitor,Periféricos,Ana,4,808.77,Efectivo,Sucursal Norte
55,2024-05-09,Laptop,Periféricos,Juan,1,497.11,Plin,Sucursal Sur
56,2024-01-18,Impresora,Accesorios,Carlos,4,970.65,Tarjeta,Sucursal Sur
57,2024-03-25,Laptop,Periféricos,Lucía,2,134.71,Efectivo,Sucursal Sur
58,2024-04-20,Monitor,Accesorios,Ana,3,288.61,Yape,Sucursal Sur
59,2024-05-11,Teclado,Accesorios,Lucía,1,315.93,Tarjeta,Sucursal Sur
60,2024-02-12,Teclado,Electrónica,Lucía,2,146.29,Yape,Sucursal Norte
61,2024-04-27,Laptop,Electrónica,Juan,2,484.17,Yape,Sucursal Norte
62,2024-05-21,Laptop,Periféricos,Juan,2,840.34,Plin,Sucursal Norte
63,2024-02-26,Teclado,Electrónica,Pedro,1,958.18,Tarjeta,Sucursal Norte
64,2024-02-18,Mouse,Periféricos,Ana,1,551.03,Yape,Sucursal Sur
65,2024-02-18,Monitor,Periféricos,Ana,2,482.39,Tarjeta,Sucursal Norte
66,2024-02-14,Impresora,Electrónica,Pedro,4,534.8,Efectivo,Sucursal Norte
67,2024-06-20,Laptop,Periféricos,Pedro,1,973.46,Tarjeta,Sucursal Sur
68,2024-06-20,Laptop,Accesorios,Pedro,5,234.5,Efectivo,Sucursal Sur
69,2024-05-13,Laptop,Periféricos,Lucía,1,813.97,Tarjeta,Sucursal Norte
70,2024-02-28,Monitor,Accesorios,Pedro,2,161.88,Yape,Sucursal Norte
71,2024-03-08,Impresora,Accesorios,Carlos,1,912.11,Efectivo,Sucursal Sur
72,2024-01-27,Monitor,Accesorios,Juan,4,531.65,Tarjeta,Sucursal Norte
73,2024-05-06,Impresora,Periféricos,Carlos,2,663.04,Efectivo,Sucursal Norte
74,2024-04-04,Mouse,Periféricos,Ana,4,891.4,Efectivo,Sucursal Sur
75,2024-04-24,Impresora,Periféricos,Juan,1,260.21,Yape,Sucursal Sur
76,2024-03-05,Laptop,Electrónica,Juan,4,451.06,Plin,Sucursal Sur
77,2024-05-15,Teclado,Accesorios,Lucía,2,823.42,Efectivo,Sucursal Sur
78,2024-02-26,Monitor,Periféricos,Juan,4,913.61,Tarjeta,Sucursal Norte
79,2024-04-28,Monitor,Periféricos,Ana,5,914.47,Plin,Sucursal Norte
80,2024-06-21,Impresora,Electrónica,Ana,5,857.72,Efectivo,Sucursal Norte
81,2024-04-05,Monitor,Accesorios,Carlos,4,818.91,Efectivo,Sucursal Sur
82,2024-02-06,Laptop,Electrónica,Juan,1,616.57,Plin,Sucursal Sur
