ID,Fecha,Producto,Categoría,Cliente,Cantidad,Precio Unitario,Método de Pago,Sucursal
1,2024-03-17,Monitor,Periféricos,Ana,1,393.86,Tarjeta,Sucursal Sur
2,2024-04-02,Monitor,Electrónica,Juan,4,433.15,Plin,Sucursal Sur
3,2024-03-27,Teclado,Electrónica,Ana,4,929.31,Tarjeta,Sucursal Sur
4,2024-02-12,Laptop,Accesorios,Lucía,2,778.63,Tarjeta,Sucursal Norte
5,2024-02-22,Laptop,Accesorios,Ana,1,504.77,Plin,Sucursal Sur
6,2024-06-05,Teclado,Periféricos,Carlos,2,697.69,Yape,Sucursal Sur
7,2024-01-17,Laptop,Accesorios,Pedro,5,345.27,Tarjeta,Sucursal Sur
8,2024-02-05,Laptop,Periféricos,Ana,1,204.04,Tarjeta,Sucursal Sur
9,2024-02-10,Teclado,Periféricos,Carlos,3,132.6,Tarjeta,Sucursal Norte
10,2024-04-15,Laptop,Electrónica,Juan,4,644.78,Tarjeta,Sucursal Norte
11,2024-05-10,Mouse,Accesorios,Lucía,1,505.39,Yape,Sucursal Norte
12,2024-06-16,Teclado,Periféricos,Juan,1,636.43,Plin,Sucursal Sur
13,2024-02-04,Impresora,Accesorios,Carlos,2,759.25,Tarjeta,Sucursal Sur
14,2024-02-28,Monitor,Accesorios,Juan,3,211.17,Efectivo,Sucursal Sur
15,2024-06-28,Mouse,Accesorios,Juan,5,963.18,Yape,Sucursal Norte
16,2024-02-14,Mouse,Electrónica,Lucía,2,568.98,Plin,Sucursal Norte
17,2024-06-07,Mouse,Electrónica,Ana,3,761.25,Tarjeta,Sucursal Norte
18,2024-03-05,Impresora,Accesorios,Pedro,2,141.42,Efectivo,Sucursal Sur
19,2024-03-11,Teclado,Periféricos,Ana,2,836.28,Efectivo,Sucursal Sur
20,2024-06-04,Laptop,Periféricos,Lucía,3,634.87,Yape,Sucursal Sur
21,2024-04-05,Teclado,Accesorios,Ana,3,848.84,Yape,Sucursal Sur
22,2024-02-19,Monitor,Accesorios,Juan,4,754.02,Efectivo,Sucursal Sur
23,2024-06-01,Monitor,Accesorios,Carlos,3,990.88,Plin,Sucursal Norte
24,2024-03-11,Monitor,Electrónica,Ana,2,498.9,Plin,Sucursal Sur
25,2024-04-10,Impresora,Periféricos,Lucía,4,902.81,Plin,Sucursal Sur
